date,kWh
2020-08-18,2444.197
2020-08-19,728.344
2020-08-20,3775.351
2020-08-21,1630.504
2020-08-22,1504.626
2020-08-23,132.062
2020-08-24,833.532
2020-08-25,2433.525
2020-08-26,1628.434
2020-08-27,2812.291
2020-08-28,261.771
2020-08-29,2048.843
2020-08-30,1965.452
2020-08-31,1069.163
2020-09-01,2494.659
2020-09-02,303.483
2020-09-03,1973.125
2020-09-04,968.2
2020-09-05,2788.559
2020-09-06,1763.845
2020-09-07,705.492
2020-09-08,2164.367
2020-09-09,485.383
2020-09-10,86.313
2020-09-11,540.289
2020-09-12,275.371
2020-09-13,1191.026
2020-09-14,2013.211
2020-09-15,2075.804
2020-09-16,1757.141
2020-09-17,298.941
2020-09-18,6.349
2020-09-19,48.074
2020-09-20,38.738
2020-09-21,53.603
2020-09-22,138.61
2020-09-23,97.401
2020-09-24,213.529
2020-09-25,170.728
2020-09-26,971.962
2020-09-27,518.111
2020-09-28,1081.732
2020-09-29,883.763
2020-09-30,724.203
2020-10-01,866.935
2020-10-02,1287.784
2020-10-03,1477.137
2020-10-04,1219.749
2020-10-05,1075.434
2020-10-06,910.4
2020-10-07,876.9449999999999
2020-10-08,901.111
2020-10-09,619.85
2020-10-10,1247.171
2020-10-11,747.848
2020-10-12,94.843
2020-10-13,88.453
2020-10-14,433.055
2020-10-15,1020.042
2020-10-16,150.102
2020-10-17,541.0169999999999
2020-10-18,1546.13
2020-10-19,775.705
2020-10-20,866.507
2020-10-21,942.279
2020-10-22,1176.576
2020-10-23,1174.17
2020-10-24,1080.739
2020-10-25,1303.108
2020-10-26,1060.824
2020-10-27,1209.169
2020-10-28,1590.301
2020-10-29,913.844
2020-10-30,1493.696
2020-10-31,2093.71
2020-11-01,1101.042
2020-11-02,232.845
2020-11-03,103.975
2020-11-04,337.043
2020-11-05,584.17
2020-11-06,1160.785
2020-11-07,1176.484
2020-11-08,1149.296
2020-11-09,162.513
2020-11-10,613.881
2020-11-11,985.66
2020-11-12,1411.098
2020-11-13,952.2479999999999
2020-11-14,3687.995
2020-11-15,3848.486
2020-11-16,1408.557
2020-11-17,2803.908
2020-11-18,337.83299999999997
2020-11-19,206.723
2020-11-20,137.526
2020-11-21,251.28400000000002
2020-11-22,699.59
2020-11-23,850.1990000000001
2020-11-24,1189.761
2020-11-25,399.286
2020-11-26,609.593
2020-11-27,667.004
2020-11-28,205.358
2020-11-29,180.656
2020-11-30,108.013
2020-12-01,468.954
2020-12-02,205.68099999999998
2020-12-03,142.079
2020-12-04,124.111
2020-12-05,369.093
2020-12-06,1380.231
2020-12-07,459.402
2020-12-08,2554.629
2020-12-09,3002.936
2020-12-10,432.296
2020-12-11,463.403
2020-12-12,478.488
2020-12-13,1414.091
2020-12-14,3195.466
2020-12-15,3714.787
2020-12-16,1401.66
2020-12-17,3577.557
2020-12-18,4191.741
2020-12-19,4308.612
2020-12-20,4370.428
2020-12-21,3429.2690000000002
2020-12-22,2499.332
2020-12-23,1490.48
2020-12-24,4136.052
2020-12-25,5036.433
2020-12-26,2048.096
2020-12-27,1765.6680000000001
2020-12-28,5807.014
2020-12-29,6730.9710000000005
2020-12-30,7232.463
2020-12-31,6518.916
2021-01-01,8349.276
2021-01-02,9100.442000000001
2021-01-03,9031.209
2021-01-04,9268.228000000001
2021-01-05,9168.705
2021-01-06,9020.649
2021-01-07,6712.201
2021-01-08,1197.678
2021-01-09,7280.6449999999995
2021-01-10,5373.174
2021-01-11,3772.107
2021-01-12,8410.014
2021-01-13,7758.352
2021-01-14,9923.332
2021-01-15,7522.363
2021-01-16,6237.892
2021-01-17,8809.476
2021-01-18,6297.588
2021-01-19,8337.132
2021-01-20,6136.985
2021-01-21,7132.894
2021-01-22,5493.389
2021-01-23,9553.529
2021-01-24,6574.085
2021-01-25,5731.897
2021-01-26,2196.996
2021-01-27,6600.238
2021-01-28,6575.151
2021-01-29,6121.375
2021-01-30,7924.267
2021-01-31,9394.804
2021-02-01,9732.943
2021-02-02,8910.548
2021-02-03,2675.884
2021-02-04,7449.305
2021-02-05,10997.969000000001
2021-02-06,7596.481
2021-02-07,8307.653
2021-02-08,9849.654
2021-02-09,10480.015
2021-02-10,7769.218
2021-02-11,3672.226
2021-02-12,4421.176
2021-02-13,8393.214
2021-02-14,6961.026
2021-02-15,6496.809
2021-02-16,7973.639
2021-02-17,5277.574
2021-02-18,2427.506
2021-02-19,1059.1009999999999
2021-02-20,8699.631
2021-02-21,4765.781
2021-02-22,7408.494
2021-02-23,9960.506
2021-02-24,7028.017
2021-02-25,11690.518
2021-02-26,9114.932999999999
2021-02-27,9170.065
2021-02-28,7922.588
2021-03-01,8308.789
2021-03-02,1983.703
2021-03-03,2596.526
2021-03-04,3600.85
2021-03-05,6854.04
2021-03-06,5462.378
2021-03-07,1561.461
2021-03-08,11066.335
2021-03-09,8474.132
2021-03-10,5886.778
2021-03-11,1799.769
2021-03-12,8773.653
2021-03-13,9993.267
2021-03-14,6730.008
2021-03-15,9312.982
2021-03-16,5373.198
2021-03-17,5896.6050000000005
2021-03-18,8579.934
2021-03-19,7857.991
2021-03-20,7708.156
2021-03-21,9340.037
2021-03-22,7994.509
2021-03-23,5509.767
2021-03-24,2948.322
2021-03-25,7306.777
2021-03-26,8935.762
2021-03-27,6549.1
2021-03-28,8542.064
2021-03-29,8437.313
2021-03-30,8333.024
2021-03-31,5827.112999999999
2021-04-01,7665.041
2021-04-02,9620.779
2021-04-03,7675.932
2021-04-04,8032.932
2021-04-05,7201.453
2021-04-06,4826.285
2021-04-07,2631.787
2021-04-08,10997.438
2021-04-09,5805.939
2021-04-10,7449.054
2021-04-11,7117.065
2021-04-12,8855.955
2021-04-13,2198.792
2021-04-14,11372.663
2021-04-15,11564.038
2021-04-16,10716.163
2021-04-17,9858.198
2021-04-18,7265.71
2021-04-19,7541.504
2021-04-20,2250.458
2021-04-21,3546.665
2021-04-22,7955.27
2021-04-23,9230.572
2021-04-24,8041.26
2021-04-25,6983.931
2021-04-26,6767.251
2021-04-27,10208.405
2021-04-28,10207.506
2021-04-29,9257.027
2021-04-30,7492.676
2021-05-01,7563.112
2021-05-02,6408.318
2021-05-03,8129.171
2021-05-04,7255.109
2021-05-05,5378.355
2021-05-06,4183.497
2021-05-07,10841.228
2021-05-08,9345.5
2021-05-09,10787.316
2021-05-10,8264.548
2021-05-11,11465.214
2021-05-12,11087.341
2021-05-13,9157.283
2021-05-14,9330.296
2021-05-15,11032.527
2021-05-16,8900.693
2021-05-17,8505.877
2021-05-18,9373.475
2021-05-19,8862.498
2021-05-20,9108.402
2021-05-21,10245.632
2021-05-22,10133.083
2021-05-23,5433.053
2021-05-24,6736.956
2021-05-25,10166.37
2021-05-26,3548.758
2021-05-27,2439.765
2021-05-28,2073.793
2021-05-29,3538.41
2021-05-30,6877.7390000000005
2021-05-31,8160.09
2021-06-01,9939.931
2021-06-02,3004.2709999999997
2021-06-03,9939.111
2021-06-04,9952.471
2021-06-05,9295.893
2021-06-06,9705.842
2021-06-07,8986.844
2021-06-08,5829.082
2021-06-09,5408.612
2021-06-10,7758.128
2021-06-11,5914.827
2021-06-12,6515.385
2021-06-13,9517.892
2021-06-14,5688.176
2021-06-15,9014.236
2021-06-16,7234.449
2021-06-17,2821.533
2021-06-18,1605.288
2021-06-19,7305.944
2021-06-20,8806.747
2021-06-21,7656.952
2021-06-22,8195.616
2021-06-23,3282.887
2021-06-24,8024.2970000000005
2021-06-25,1325.945
2021-06-26,1277.175
2021-06-27,2687.0299999999997
2021-06-28,5287.24
2021-06-29,9098.286
2021-06-30,5002.902
2021-07-01,5371.578
2021-07-02,6597.969
2021-07-03,6094.46
2021-07-04,5307.233
2021-07-05,5683.06
2021-07-06,8708.809
2021-07-07,5066.91
2021-07-08,8654.571
2021-07-09,8857.53
2021-07-10,5059.936
2021-07-11,6102.26
2021-07-12,6426.238
2021-07-13,4405.102
2021-07-14,1412.923
2021-07-15,901.303
2021-07-16,20.386000000000003
2021-07-17,1645.9579999999999
2021-07-18,3911.868
2021-07-19,4522.735
2021-07-20,6286.082
2021-07-21,8932.537
2021-07-22,6703.777
2021-07-23,8851.89
2021-07-24,4258.004
2021-07-25,18.125
2021-07-26,1680.109
2021-07-27,5339.954
2021-07-28,7773.254
2021-07-29,8240.502
2021-07-30,2845.182
2021-07-31,2328.473
2021-08-01,2735.449
2021-08-02,4790.084
2021-08-03,4149.339
2021-08-04,3596.774
2021-08-05,5654.491
2021-08-06,6843.315
2021-08-07,5702.908
2021-08-08,5462.193
2021-08-09,7201.115
2021-08-10,5195.451
2021-08-11,5924.864
2021-08-12,2354.601
2021-08-13,2788.284
2021-08-14,1966.364
2021-08-15,5785.782
2021-08-16,5580.912
2021-08-17,2492.289
2021-08-18,5645.833
2021-08-19,3907.851
2021-08-20,1245.56
2021-08-21,468.412
2021-08-22,213.75300000000001
2021-08-23,400.137
2021-08-24,1170.3509999999999
2021-08-25,1814.771
2021-08-26,186.96099999999998
2021-08-27,126.678
